date,output_gap,inflation,policy_rate
2013-01-01,0.348,-0.024,0.038
2013-04-01,-1.588,0.518,-0.217
2013-07-01,-1.157,0.36,-0.882
2013-10-01,-0.901,0.475,-0.925
2014-01-01,-0.713,1.397,0.988
2014-04-01,-0.124,2.314,0.709
2014-07-01,-0.87,3.576,1.094
2014-10-01,-0.068,2.917,2.644
2015-01-01,-0.364,2.564,3.381
2015-04-01,-0.433,3.143,2.935
2015-07-01,0.901,2.36,3.33
2015-10-01,-0.667,2.65,2.934
2016-01-01,0.835,3.514,3.388
2016-04-01,0.476,1.787,3.6
2016-07-01,0.518,2.714,3.922
2016-10-01,-0.463,2.437,3.787
2017-01-01,-0.36,3.114,4.006
2017-04-01,0.289,1.847,4.443
2017-07-01,-0.47,2.221,4.675
2017-10-01,0.108,2.581,4.101
2018-01-01,-0.781,2.039,3.18
2018-04-01,-0.804,1.501,3.77
2018-07-01,-1.121,2.236,2.345
2018-10-01,-0.59,1.635,2.828
2019-01-01,-0.4,1.447,3.374
2019-04-01,-1.877,1.393,3.051
2019-07-01,-1.404,0.714,2.506
2019-10-01,-0.122,1.808,2.17
2020-01-01,-0.689,1.309,2.073
2020-04-01,0.273,2.046,1.616
2020-07-01,-0.773,2.632,1.44
2020-10-01,0.237,2.918,2.324
2021-01-01,0.804,3.258,3.161
2021-04-01,1.031,3.933,3.033
2021-07-01,0.775,3.243,4.185
2021-10-01,0.381,3.422,4.709
2022-01-01,0.522,3.147,3.703
2022-04-01,-1.402,4.257,4.481
2022-07-01,-2.103,1.96,4.904
2022-10-01,-1.524,1.864,4.062
2023-01-01,-2.866,1.401,3.127
2023-04-01,-3.5,0.121,2.728
2023-07-01,-1.937,-1.02,2.265
2023-10-01,-1.516,-0.472,0.802
2024-01-01,-0.787,0.026,-0.445
2024-04-01,-1.651,0.895,0.115
2024-07-01,-1.603,0.557,0.424
2024-10-01,-1.855,0.481,0.378
